Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 11,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 11,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 11,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 11,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 12,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 12,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 12,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 12,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 13,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 13,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 13,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 13,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 14,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 14,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 14,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 14,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 15,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 15,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 15,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 15,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 16,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 16,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 16,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 16,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 17,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 17,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 17,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 17,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 18,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 18,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 18,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 18,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 19,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 19,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 19,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 19,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 20,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 20,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 20,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 20,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 21,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 21,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 21,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 21,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 22,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 22,2007,2,7.61,14.561383898598601,3.3,15.5,1,4,82.6,11.55,2.47,28.5,86.4,8.5,8,Частный,Пик,0
Банк 22,2007,3,7.37,14.614921411716676,3.5,15.5,1,4,82.6,11.55,2.47,28.5,86.4,8.5,8,Частный,Пик,0
Банк 22,2007,4,7.6,10.045296058572362,5.7,15.5,1,4,82.6,11.55,2.47,28.5,86.4,8.5,8,Частный,Пик,0
Банк 23,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,1
Банк 23,2007,2,7.61,14.561383898598601,3.3,9.4,10.9,1.5,51.3,11.3,2.36,120,141.3,31.3,18.9,Частный,Пик,1
Банк 23,2007,3,7.37,14.614921411716676,3.5,9.4,10.9,1.5,51.3,11.3,2.36,120,141.3,31.3,18.9,Частный,Пик,1
Банк 23,2007,4,7.6,10.045296058572362,5.7,9.4,10.9,1.5,51.3,11.3,2.36,120,141.3,31.3,18.9,Частный,Пик,1
Банк 24,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 24,2007,2,7.61,14.561383898598601,3.3,13.5,1.8,4.4,65.4,13.75,1.29,55,101.4,11.7,29.2,Частный,Пик,0
Банк 24,2007,3,7.37,14.614921411716676,3.5,13.5,1.8,4.4,65.4,13.75,1.29,55,101.4,11.7,29.2,Частный,Пик,0
Банк 24,2007,4,7.6,10.045296058572362,5.7,13.5,1.8,4.4,65.4,13.75,1.29,55,101.4,11.7,29.2,Частный,Пик,0
Банк 25,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,1
Банк 25,2007,2,7.61,14.561383898598601,3.3,13.5,5.5,2.7,50,9.76,1.01,75.5,69.4,46.3,27,Частный,Пик,1
Банк 25,2007,3,7.37,14.614921411716676,3.5,13.5,5.5,2.7,50,9.76,1.01,75.5,69.4,46.3,27,Частный,Пик,1
Банк 25,2007,4,7.6,10.045296058572362,5.7,13.5,5.5,2.7,50,9.76,1.01,75.5,69.4,46.3,27,Частный,Пик,1
Банк 26,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 26,2007,2,7.61,14.561383898598601,3.3,13.1,1.7,3.4,80.1,12.08,0.81,13.1,82.7,32.7,21.4,Частный,Пик,0
