Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
ОАО “ТНГИ-Банк”,2009,1,13.35,-21.511101090472806,16.3,67.9,12.5,0.7,81.8,11.51,0.001,55.8,57.3,0,200,Частный,Дно,1
ОАО “ТНГИ-Банк”,2009,2,13.85,10.920649567662476,8.6,67.9,12.5,0.7,81.8,11.51,0.001,55.8,57.3,0,200,Частный,Дно,1
ОАО “ТНГИ-Банк”,2009,3,13.98,12.617920329998533,6.5,67.9,12.5,0.7,81.8,11.51,0.001,55.8,57.3,0,200,Частный,Дно,1
ОАО “ТНГИ-Банк”,2009,4,13.16,3.890846860429842,5.8,67.9,12.5,0.7,81.8,11.51,0.001,55.8,57.3,0,200,Частный,Дно,1
АКБ “С-Банк” ,2009,1,13.35,-21.511101090472806,16.3,24.6,3.5,0.42,59.3,12.37,0.011,8.1,75.2,0,-52.5,Частный,Дно,1
АКБ “С-Банк” ,2009,2,13.85,10.920649567662476,8.6,24.6,3.5,0.42,59.3,12.37,0.011,8.1,75.2,0,-52.5,Частный,Дно,1
АКБ “С-Банк” ,2009,3,13.98,12.617920329998533,6.5,24.6,3.5,0.42,59.3,12.37,0.011,8.1,75.2,0,-52.5,Частный,Дно,1
АКБ “С-Банк” ,2009,4,13.16,3.890846860429842,5.8,24.6,3.5,0.42,59.3,12.37,0.011,8.1,75.2,0,-52.5,Частный,Дно,1
Банк 1,2009,1,13.35,-21.511101090472806,16.3,16.6,5.2,3.2,170.4,23.6,7.6,-11.4,118.2,19.6,-23,Частный,Дно,0
Банк 1,2009,2,13.85,10.920649567662476,8.6,16.6,5.2,3.2,170.4,23.6,7.6,-11.4,118.2,19.6,-23,Частный,Дно,0
Банк 1,2009,3,13.98,12.617920329998533,6.5,16.6,5.2,3.2,170.4,23.6,7.6,-11.4,118.2,19.6,-23,Частный,Дно,0
Банк 1,2009,4,13.16,3.890846860429842,5.8,16.6,5.2,3.2,170.4,23.6,7.6,-11.4,118.2,19.6,-23,Частный,Дно,0
Банк 2,2009,1,13.35,-21.511101090472806,16.3,14.8,6.6,-0.4,82.1,21.2,2,14.9,79.1,24.5,-35.1,Частный,Дно,0
Банк 2,2009,2,13.85,10.920649567662476,8.6,14.8,6.6,-0.4,82.1,21.2,2,14.9,79.1,24.5,-35.1,Частный,Дно,0
